target_1,y_test_1,predicted_1,evja_temp_1
9.075,9.075,7.327365,7.4
9.31,9.31,7.591386,8.0
9.197,9.197,7.5788794,8.0
9.614,9.614001,8.101068,8.3
9.654,9.653999,8.184766,8.5
9.924,9.924,8.369442,8.6
9.785,9.785,8.5538,8.6
11.029,11.029001,10.096318,9.4
15.152,15.152,12.484307,13.3
17.706,17.706,14.219172,15.9
21.56,21.56,15.400482,19.5
17.228,17.228,13.427365,16.5
16.289,16.289,12.3591175,15.8
13.676,13.676,11.497724,13.0
12.128,12.128001,11.044106,11.5
11.925,11.925,10.810213,11.1
11.778,11.778,10.555771,10.9
11.479,11.479,10.638459,10.3
11.238,11.237999,9.693423,10.0
10.599,10.599,8.645947,9.3
9.247,9.247,7.1242337,7.9
7.263,7.2630005,10.124399,5.7
17.678,17.678,15.815475,18.3
24.265,24.265,16.532982,22.5
15.883,15.883,10.044503,15.9
5.387,5.387,5.351309,4.9
4.499,4.499,3.6453743,3.6
3.325,3.3250003,3.543836,2.7
2.772,2.772,3.0365994,1.9
2.653,2.653,5.777423,1.8
9.313,9.313,6.25887,7.7
7.951,7.951,5.6849566,6.3
6.609,6.609,5.5082746,5.6
6.853,6.853,5.917219,5.9
6.913,6.9130006,6.115379,6.0
7.381,7.3810005,6.4690633,6.3
7.517,7.517,6.385245,6.5
7.478,7.478,6.7473345,6.4
10.534,10.534,9.958057,9.9
17.776,17.775997,10.699927,15.6
13.166,13.166,10.349474,11.8
7.512,7.5120006,7.1314874,6.6
8.349,8.348999,6.968989,7.3
6.77,6.7699995,4.668755,6.2
5.923,5.923,6.1541014,4.7
7.948,7.9480004,6.9234743,6.7
6.832,6.8320003,4.9588656,5.5
5.362,5.362,7.1151123,3.9
11.931,11.931,13.405614,11.6
20.972,20.971998,14.881556,20.5
12.479,12.479,10.319135,12.4
9.731,9.730999,8.737894,8.5
8.995,8.995,8.521339,7.8
8.815,8.815001,7.700631,7.7
8.355,8.355,7.261989,7.3
6.021,6.021,5.671575,5.1
3.53,3.5300004,2.762808,2.2
6.507,6.5069995,6.3818974,5.5
9.131,9.1310005,9.261614,8.4
13.37,13.369999,9.734975,13.4
5.942,5.942,4.9598475,5.7
2.495,2.4950001,3.4864774,2.1
1.654,1.6540003,2.0789409,1.2
0.477,0.47699997,-0.9649565,-0.1
-0.777,-0.77700007,-0.51505446,-1.4
1.983,1.9830003,-0.18177263,1.3
1.408,1.4079999,1.90516,0.6
11.423,11.423,10.341654,11.0
19.338,19.337997,12.625608,19.8
11.417,11.417,7.4200916,12.1
