target_1,y_test_1,predicted_1,target_2,y_test_2,predicted_2,target_3,y_test_3,predicted_3,target_4,y_test_4,predicted_4,target_5,y_test_5,predicted_5,target_6,y_test_6,predicted_6,target_7,y_test_7,predicted_7
9.075,9.075,7.562221,9.126,9.126002,7.539437,9.035,9.035,7.234253,8.981,8.981001,8.220159,8.394,8.394,8.216371,8.357,8.357,7.1941805,8.768,8.768,7.884931
9.31,9.31,7.711563,9.386,9.386001,8.058142,9.191,9.191001,7.5612273,9.101,9.100999,8.657161,9.163,9.163,8.9905815,9.036,9.035999,7.8589234,9.37,9.37,8.590181
9.197,9.197,7.61334,9.316,9.316,8.082009,9.021,9.021,7.751657,8.942,8.942,8.360557,9.111,9.111,8.678834,9.004,9.003999,7.9722147,9.463,9.463,8.331389
9.614,9.614001,8.149492,9.649,9.649,8.436179,9.421,9.421,8.081962,9.429,9.429,8.630277,9.481,9.481,8.786884,9.396,9.396,8.24849,9.715,9.715,8.736786
9.654,9.653999,8.34907,9.665,9.665002,8.528387,9.527,9.527,8.076223,9.418,9.417999,8.588896,9.544,9.544,8.875846,9.561,9.561,8.348905,9.815,9.815,8.808214
9.924,9.924,8.477679,9.914,9.914,8.745216,9.745,9.745,8.461213,9.705,9.705,8.889746,9.638,9.638,9.007352,9.529,9.529001,8.563328,9.88,9.88,8.921033
9.785,9.785,8.581843,9.797,9.797001,8.762786,9.68,9.68,8.495491,9.609,9.609,8.904246,9.837,9.837,9.07754,9.846,9.846,8.564181,10.073,10.073,9.016198
11.029,11.029001,10.292076,11.172,11.172001,10.251017,10.994,10.994,10.085449,10.995,10.995,10.511819,10.684,10.684,10.762948,10.773,10.773,10.241952,10.918,10.918,10.665288
15.152,15.152,12.802304,15.161,15.160999,12.893438,14.985,14.985001,12.515382,14.824,14.824001,12.673699,15.376,15.376,13.358461,14.978,14.978,13.108462,15.697,15.697,13.297224
17.706,17.706,14.53295,17.586,17.586,14.390045,17.393,17.393002,13.5359335,17.345,17.345,14.012775,17.495,17.495,14.572719,18.961,18.961002,14.4958,18.059,18.059,14.759976
21.56,21.56,15.824355,21.597,21.597,15.474853,21.109,21.109,14.860331,20.966,20.966,14.693196,21.482,21.482,15.335465,21.752,21.752,15.48552,22.184,22.184,15.822629
17.228,17.228,13.804816,17.238,17.238003,13.59822,16.814,16.814001,13.245627,16.545,16.544998,13.333955,17.189,17.189,13.9270525,16.991,16.991,13.500904,17.61,17.61,14.124273
16.289,16.289,12.721942,16.357,16.357,12.508243,16.147,16.147,12.069856,16.062,16.062,12.332863,16.289,16.289,12.937471,16.049,16.049,12.681006,16.641,16.641,13.167024
13.676,13.676,11.749043,13.825,13.825001,11.597664,13.434,13.434001,11.402561,13.46,13.46,11.545395,13.629,13.629001,11.89704,13.473,13.473,11.70683,13.871,13.871,12.184908
12.128,12.128001,11.184522,12.146,12.146,10.979921,12.01,12.010001,10.80786,12.043,12.043001,11.18611,12.449,12.449,11.211328,12.29,12.29,10.98651,12.443,12.443,11.443558
11.925,11.925,10.947758,12.042,12.041999,11.024336,11.901,11.901,10.916082,11.877,11.877001,11.214879,12.192,12.192,11.158896,12.086,12.0859995,10.681245,12.287,12.287,11.408485
11.778,11.778,10.653515,11.786,11.786001,10.94851,11.669,11.669,10.440449,11.628,11.628,10.89864,11.992,11.992,11.069052,11.916,11.915999,10.902598,12.095,12.095001,11.253226
11.479,11.479,10.958257,11.488,11.488,10.92176,11.411,11.411001,10.739443,11.39,11.39,11.6143465,11.482,11.482,11.864267,11.463,11.463,11.136427,11.563,11.563,11.813362
11.238,11.237999,10.080184,11.23,11.2300005,9.988158,11.21,11.21,9.88095,11.122,11.122,10.603828,11.291,11.291,11.428351,11.218,11.218,10.319587,11.353,11.353,11.1677
10.599,10.599,8.921592,10.634,10.634,8.851764,10.559,10.559001,8.7177,10.49,10.49,9.31368,10.472,10.472,10.095525,10.487,10.487,8.98327,10.609,10.609,9.607077
9.247,9.247,7.3008504,9.242,9.242,7.317447,9.245,9.244999,7.35635,9.22,9.220001,7.90277,9.228,9.228,8.738993,9.146,9.146,7.6088443,9.274,9.274,8.083321
7.263,7.2630005,10.545611,7.351,7.351,10.493318,7.699,7.698999,10.48127,7.592,7.592,10.716084,7.741,7.741,11.34153,7.87,7.8700004,11.16165,7.899,7.8990006,10.851753
17.678,17.678,16.643051,18.423,18.423,16.201748,17.443,17.443,15.157477,17.879,17.879002,15.542949,18.99,18.99,15.748106,19.245,19.245,16.41346,19.588,19.588,16.094522
24.265,24.265,17.329514,23.725,23.725,15.804376,22.522,22.522,15.068131,22.779,22.779,15.344381,22.657,22.657,15.719174,23.403,23.403002,16.355335,23.463,23.463,16.14502
15.883,15.883,10.48422,15.831,15.831002,9.971564,16.007,16.007,9.937466,15.649,15.649,10.072035,16.75,16.749998,10.807384,17.363,17.363,10.142555,15.864,15.864,10.746587
5.387,5.387,5.6605425,5.595,5.595,5.77723,5.541,5.541,5.8079147,5.744,5.744,6.2177243,6.791,6.791,6.335457,6.794,6.7940006,5.8362074,7.036,7.036,6.144231
4.499,4.499,3.9600163,4.467,4.467,4.7278,4.83,4.8299994,4.581738,4.712,4.712,5.633975,5.743,5.743,5.481351,5.896,5.8959994,4.893637,5.827,5.827,4.6708612
3.325,3.3250003,3.8648736,3.479,3.4790003,4.1347294,3.409,3.409,3.9256454,3.671,3.6710002,5.082231,4.693,4.693,4.6951313,4.833,4.833,4.063991,5.065,5.065,3.9250486
2.772,2.772,3.436059,2.745,2.7449996,3.9893832,2.815,2.815,3.7640967,3.079,3.0789998,4.8048596,3.929,3.9290001,4.5982018,4.172,4.172,3.940763,4.255,4.255,3.8147392
