,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,target_2,y_test_2,predicted_2,target_3,y_test_3,predicted_3,target_4,y_test_4,predicted_4,target_5,y_test_5,predicted_5,target_6,y_test_6,predicted_6,target_7,y_test_7,predicted_7
0,0,0,0,0,0,0,6.104,6.1040006,16.768866,0.793,0.79299986,10.902135,13.029,13.029001,17.54178,29.538,29.538,27.42307,7.999,7.999001,13.928702,2.725,2.725,21.611685,18.548,18.547998,16.55589
1,1,1,1,1,1,1,21.719,21.719,18.963526,18.759,18.759,16.204512,23.172,23.172,16.858044,19.139,19.139002,15.365732,17.909,17.909,16.68592,24.407,24.407,15.008766,19.01,19.01,19.977839
2,2,2,2,2,2,2,16.833,16.833,14.564696,15.682,15.682001,16.998652,16.964,16.964,16.816572,11.16,11.16,11.868151,22.573,22.573,20.864977,15.04,15.04,14.101742,11.406,11.405999,19.691093
3,3,3,3,3,3,3,27.682,27.681997,26.734518,23.978,23.978,17.265495,20.245,20.245,13.100932,27.788,27.788002,18.036158,12.04,12.04,15.142313,25.648,25.648,22.593115,23.379,23.379,19.857132
4,4,4,4,4,4,4,3.429,3.429,15.600165,2.418,2.4179997,12.413003,11.501,11.501001,11.199395,14.589,14.589,14.830001,14.122,14.122,19.88457,7.785,7.7850003,16.771576,8.271,8.271001,16.566948
5,5,5,5,5,5,5,19.029,19.029,23.624704,12.562,12.562001,16.76525,7.088,7.088001,10.026742,15.792,15.792,18.74817,14.093,14.093,14.3995905,10.629,10.629,17.682526,3.266,3.2660003,15.016038
6,6,6,6,6,6,6,9.358,9.358,11.115606,19.857,19.857,16.082441,15.136,15.136001,17.612793,18.643,18.642998,19.905098,30.007,30.007,15.641361,7.949,7.949,13.555327,18.54,18.539999,15.628081
7,7,7,7,7,7,7,19.945,19.944998,14.540064,14.454,14.454001,20.790056,16.283,16.283,16.418158,16.798,16.798,22.672426,5.586,5.586,12.182471,7.884,7.8839993,7.133725,22.446,22.445997,17.935707
8,8,8,8,8,8,8,26.832,26.832,17.193775,5.573,5.573,17.967081,12.758,12.758001,13.903098,29.784,29.784,21.459188,27.557,27.557,15.174498,29.663,29.663,20.857065,16.641,16.641,16.51738
9,9,9,9,9,9,9,18.727,18.726997,18.179014,24.989,24.989,26.912437,14.647,14.647001,15.945387,21.228,21.228,19.169754,17.22,17.22,18.689787,28.656,28.656,22.243147,19.85,19.85,19.45021
10,10,10,10,10,10,10,16.634,16.634,17.545868,18.872,18.872,16.921814,6.796,6.796,7.8945446,19.566,19.566,18.480118,26.919,26.919,21.870935,20.222,20.222,18.479727,29.014,29.014,20.22685
11,11,11,11,11,11,11,18.157,18.157,18.004053,27.496,27.496,23.992138,22.097,22.097,16.734207,20.658,20.658,19.864904,10.693,10.693,11.055299,26.161,26.161,17.284876,15.961,15.9609995,19.997036
12,12,12,12,12,12,12,14.578,14.578,17.289837,18.71,18.71,20.202892,18.38,18.380001,20.60619,13.901,13.901,13.849201,16.079,16.079,8.96449,18.744,18.744003,17.441488,19.671,19.671,17.533785
13,13,13,13,13,13,13,21.457,21.457,18.430492,17.107,17.107002,18.201616,14.602,14.602,12.23229,15.971,15.971,15.047411,15.167,15.167,24.432354,10.01,10.01,13.125751,23.361,23.361002,21.45832
14,14,14,14,14,14,14,14.74,14.74,18.581097,7.611,7.611,18.362408,25.585,25.585,14.594908,24.285,24.285,17.004124,9.172,9.172,15.790119,15.031,15.031001,16.780182,23.03,23.03,18.205475
15,15,15,15,15,15,15,12.96,12.96,20.008484,30.64,30.64,24.978382,7.635,7.6349998,12.80364,10.812,10.812,7.70328,12.812,12.812,22.424988,15.527,15.527,16.85473,15.293,15.293,13.854507
16,16,16,16,16,16,16,17.292,17.292,16.12121,13.494,13.494,16.840311,19.628,19.628,17.877441,17.906,17.906002,18.112507,27.682,27.682,20.832928,11.291,11.291,15.683485,19.219,19.219,15.847887
17,17,17,17,17,17,17,19.759,19.758999,18.981186,24.962,24.962,19.043472,30.411,30.411,14.277765,30.178,30.178,23.239145,18.904,18.904,21.113703,18.442,18.442001,13.991425,14.361,14.361,14.159387
18,18,18,18,18,18,18,13.651,13.651,16.587292,27.514,27.514,16.745825,14.075,14.075001,16.791685,34.73,34.73,21.690622,20.207,20.206999,11.729451,13.499,13.499,23.676449,19.219,19.219,16.016823
19,19,19,19,19,19,19,15.807,15.806998,15.524986,26.668,26.668,18.363422,28.009,28.008999,14.77328,14.107,14.107,17.221428,21.628,21.628,18.918566,5.962,5.962,18.297476,20.543,20.542997,22.729559
20,20,20,20,20,20,20,11.869,11.869,12.874757,14.331,14.331,13.727908,17.868,17.868002,17.278595,23.817,23.816998,17.452074,13.431,13.431,16.642033,7.086,7.086,12.10108,15.828,15.828,15.51363
21,21,21,21,21,21,21,22.396,22.395998,18.062803,15.275,15.275001,24.33853,28.408,28.408,22.880058,14.095,14.095,16.675278,17.968,17.968,13.681738,13.892,13.892,17.529076,14.544,14.544,13.195367
22,22,22,22,22,22,22,6.62,6.62,14.398726,16.86,16.86,20.345497,6.498,6.498,19.554972,25.58,25.58,17.10196,9.601,9.601,19.314383,7.381,7.3809996,18.134071,8.35,8.35,18.453964
23,23,23,23,23,23,23,10.288,10.288,11.278942,25.11,25.11,14.60529,32.478,32.478,21.988424,19.197,19.196999,19.927782,16.839,16.838999,11.245405,8.716,8.715999,16.337772,17.033,17.033,16.65775
24,24,24,24,24,24,24,15.7,15.699998,14.002901,21.884,21.884,18.54439,19.451,19.451002,18.493412,12.201,12.201,16.355495,27.198,27.198,13.192449,22.925,22.925003,17.699474,17.393,17.393,11.430615
25,25,25,25,25,25,25,14.587,14.587,18.91342,15.337,15.337001,15.983326,17.926,17.926,16.431828,13.889,13.889001,22.57783,22.573,22.573,17.601664,11.187,11.187,14.240395,29.745,29.744999,12.528049
26,26,26,26,26,26,26,5.063,5.063,17.17892,29.875,29.875,25.965723,6.267,6.267,18.148159,9.949,9.949,15.016239,29.967,29.967,17.058086,17.034,17.034002,20.68992,10.844,10.844,15.297376
27,27,27,27,27,27,27,3.317,3.317,13.822642,12.402,12.402001,16.02829,12.175,12.175002,18.814552,10.844,10.844,11.63238,4.799,4.799,28.743998,14.581,14.581,20.370687,19.765,19.765,18.922112
28,28,28,28,28,28,28,13.166,13.166,12.929253,6.786,6.7859993,11.825027,30.104,30.104,19.732481,14.498,14.498,16.889822,28.493,28.493,18.151926,29.14,29.14,23.616491,31.499,31.499,18.445576
29,29,29,29,29,29,29,19.476,19.476,23.401546,17.564,17.564,20.167122,15.915,15.915,18.016645,28.886,28.886,12.347303,16.88,16.88,12.737287,31.157,31.157001,20.682962,13.882,13.882,16.21198
30,30,30,30,30,30,30,27.41,27.41,13.349507,18.885,18.885,17.48309,16.698,16.698,17.897926,6.072,6.0720005,9.339691,15.795,15.794999,15.548222,27.069,27.069,14.21943,18.282,18.282,22.09348
31,31,31,31,31,31,31,6.864,6.864,18.718859,18.909,18.909,20.32551,11.745,11.745,10.058186,12.915,12.915,12.678194,25.933,25.932999,19.44453,13.224,13.223999,15.815413,12.595,12.595,20.098923
32,32,32,32,32,32,32,15.979,15.979001,24.581007,4.015,4.015,12.105374,27.431,27.431,15.679645,8.695,8.694999,15.388982,14.523,14.523,15.336206,30.43,30.43,17.894444,8.372,8.372,15.518208
33,33,33,33,33,33,33,14.432,14.432,15.860794,28.208,28.208002,25.39682,28.365,28.364998,17.714523,28.819,28.819002,16.209717,30.421,30.421,17.467127,14.679,14.679,17.43016,14.593,14.593,13.419413
34,34,34,34,34,34,34,17.883,17.882998,22.508507,6.92,6.92,23.75946,12.603,12.602999,14.619428,11.859,11.859001,16.909824,11.628,11.628,17.95195,5.152,5.152,15.38228,22.772,22.772,19.965237
35,35,35,35,35,35,35,12.437,12.437,13.864014,22.19,22.19,17.841747,30.118,30.117998,18.681068,4.13,4.13,22.093353,27.219,27.219,14.0224905,6.108,6.108,14.547574,12.358,12.357999,10.445584
36,36,36,36,36,36,36,7.704,7.7039995,13.918123,12.355,12.355,13.354991,14.987,14.987,14.700542,27.608,27.608,18.416208,27.106,27.106,10.688032,27.072,27.072002,18.593098,1.557,1.557,15.821182
37,37,37,37,37,37,37,13.397,13.397,16.86265,21.154,21.154,21.074682,15.3,15.300002,15.514683,17.916,17.916002,16.930511,22.456,22.456,17.323503,11.567,11.567,14.500134,14.972,14.972,14.534567
38,38,38,38,38,38,38,9.227,9.227001,18.319416,29.011,29.011,14.903464,9.705,9.705,16.68297,16.976,16.975998,13.496518,17.515,17.515,17.388527,8.559,8.558999,8.995823,15.045,15.045,18.658617
39,39,39,39,39,39,39,15.376,15.376,16.10436,19.215,19.215,14.483336,16.789,16.789,15.962409,14.179,14.179001,9.91668,28.706,28.706,18.105371,9.364,9.364,15.288089,22.051,22.051,13.420718
40,40,40,40,40,40,40,8.501,8.501,11.486919,17.846,17.846003,16.237091,14.009,14.009,18.109148,24.026,24.026,15.691398,24.457,24.457,19.217207,11.286,11.286001,14.969781,15.237,15.237,24.97568
41,41,41,41,41,41,41,8.433,8.433001,16.81614,17.559,17.559,20.728994,9.29,9.290001,11.569987,28.759,28.759,18.243702,29.457,29.457,14.974927,22.033,22.033003,16.452517,16.863,16.863,14.359944
42,42,42,42,42,42,42,21.99,21.989996,22.559422,21.248,21.248,17.708145,31.341,31.341,24.361404,17.79,17.79,11.81616,30.672,30.672,16.489677,3.165,3.165,10.444717,29.443,29.443,24.90983
43,43,43,43,43,43,43,28.109,28.109,16.268097,24.853,24.853,20.42805,14.592,14.592001,13.249198,20.433,20.433,21.043728,21.551,21.550999,14.844007,9.108,9.107999,13.913753,8.747,8.747001,11.505662
44,44,44,44,44,44,44,10.148,10.148,15.303019,16.595,16.595,18.18728,32.794,32.794,12.905243,21.966,21.965998,19.016327,19.972,19.972,19.169992,28.866,28.866,18.722397,7.302,7.302,15.528272
45,45,45,45,45,45,45,17.376,17.376,16.561712,1.013,1.013,18.036116,14.433,14.433,13.127339,18.418,18.418,15.327169,27.138,27.138,13.41931,9.464,9.464,16.996172,13.362,13.362,13.461809
46,46,46,46,46,46,46,22.209,22.208998,20.603607,18.311,18.311,20.546408,7.333,7.333,22.728928,20.178,20.178,11.920113,15.336,15.336,26.628769,13.542,13.542,17.234255,28.187,28.187,16.975153
47,47,47,47,47,47,47,16.978,16.978,14.777459,18.968,18.968,20.159533,21.321,21.321,16.427734,25.864,25.864,22.246012,28.346,28.346,15.327894,20.292,20.292002,14.423036,14.949,14.948999,16.426664
48,48,48,48,48,48,48,16.289,16.289,23.854227,28.334,28.334,14.958308,25.478,25.478,19.477888,31.437,31.437,25.271914,14.116,14.116,11.295163,23.025,23.025003,21.866436,18.576,18.575998,18.636702
49,49,49,49,49,49,49,21.0,20.999998,17.030216,16.743,16.743,18.546474,7.569,7.569,15.650186,17.803,17.803001,9.935413,7.876,7.876,26.67159,29.393,29.393,19.554087,20.323,20.323,21.890894
50,50,50,50,50,50,50,12.121,12.121,10.675103,17.901,17.901001,17.496744,22.523,22.523,17.489677,17.66,17.66,18.37221,6.116,6.116,13.065298,24.7,24.7,22.983658,18.408,18.408,15.862612
51,51,51,51,51,51,51,29.598,29.597998,15.48692,13.395,13.395002,19.094051,26.533,26.533,17.893454,22.046,22.046,21.904322,14.059,14.058999,14.286803,12.214,12.214,12.891316,18.084,18.083998,13.326355
52,52,52,52,52,52,52,15.291,15.291,15.496988,0.785,0.78499985,14.5761595,15.64,15.64,18.164402,9.758,9.758,12.745479,20.013,20.013,18.156948,5.891,5.891,18.941776,23.732,23.731998,14.630241
53,53,53,53,53,53,53,19.108,19.108,19.090584,20.845,20.845,4.507701,20.591,20.591,22.535166,14.995,14.995,15.977926,21.728,21.728,10.07728,14.856,14.856,19.624996,19.372,19.372,18.555115
54,54,54,54,54,54,54,1.552,1.5519998,14.56197,17.262,17.262,16.57431,14.509,14.509,15.641484,19.902,19.902,17.473534,17.506,17.506002,13.931326,16.487,16.487,14.937334,18.084,18.083998,19.906874
55,55,55,55,55,55,55,18.091,18.091,23.808455,29.154,29.154,21.767612,-0.777,-0.77699995,9.347836,15.079,15.079,12.846458,11.856,11.856,9.1066675,17.871,17.871002,26.88142,16.357,16.357,21.403698
56,56,56,56,56,56,56,10.473,10.473,14.391914,3.669,3.669,9.206422,18.946,18.946,14.277047,7.55,7.549999,17.058144,17.9,17.9,21.491106,11.502,11.501999,14.517739,12.921,12.921,17.81314
57,57,57,57,57,57,57,6.679,6.679,13.404429,19.359,19.359001,20.012726,17.882,17.882,15.12813,10.846,10.846,14.09939,23.49,23.49,19.307775,26.23,26.230001,18.167963,20.708,20.708,20.15915
58,58,58,58,58,58,58,6.78,6.78,21.40335,7.219,7.219,16.796822,6.252,6.252,7.4780564,13.177,13.177,13.622866,6.815,6.815,16.481007,31.117,31.117002,15.946637,16.606,16.606,14.895617
