"target","temp_c","distanza_da_centralina","angolo_gradi_da_centralina","distanza_da_posizione","angolo_gradi_da_posizione","anno_acquisizione","mese_acquisizione","settimana_acquisizione_su_anno","giorno_acquisizione_su_anno","giorno_acquisizione_su_mese","giorno_acquisizione_su_settimana","ora_acquisizione","Barometer_HPa","Centralina_Temp__C","HighTemp__C","LowTemp__C","Hum__","DewPoint__C","WetBulb__C","WindSpeed_Km_h","WindRun_Km","HighWindSpeed_Km_h","WindChill__C","HeatIndex__C","THWIndex__C","THSWIndex__C","Rain_Mm","RainRate_Mm_h","SolarRad_W_m_2","SolarEnergy_Ly","HighSolarRad_W_m_2","ET_Mm","HeatingDegreeDays","CoolingDegreeDays","Humidity__RH_","Solar_klux_","evja_temp","posizione_attuale_ToCategory","misurato_in_ToCategory","WindDirection_ToCategory","HighWindDirection_ToCategory","UVIndex_ToCategory","UVDose_MEDs_ToCategory","HighUVIndex_ToCategory","timestamp_normalizzato"
26.186,26.186,1072,346,0,0,2021,8,34,238,26,4,10,1009.2,23.5,23.6,23.3,55,13.9,16.5,3.2,0.8,6.4,23.5,23.6,23.6,27.3,0,0,342,7.36,346,0,0,0.054,56.9,18,24.8,0,0,0,0,0,0,0,"2021_8_26_10"
27.084,27.049,747,160,1816,163,2021,8,34,238,26,4,11,1009.4,23.8,23.8,23.4,54,14,16.6,3.2,0.8,8,23.8,23.9,23.9,28,0,0,388,8.35,450,0.28,0,0.057,51.1,19,25.3,0,1,1,1,0,0,0,"2021_8_26_11"
27.215,26.329,747,200,1740,180,2021,8,34,238,26,4,11,1009.3,24.1,24.1,23.8,51,13.3,16.1,3.2,0.8,8,24.1,24,24,28,0,0,386,8.3,429,0,0,0.06,50.2,15,25.6,0,2,2,1,0,0,0,"2021_8_26_11"
29.928,26.096,1326,169,2397,167,2021,8,34,238,26,4,11,1009.2,24.4,24.5,24.1,47,12.4,15.5,4.8,1.21,17.7,24.4,24.2,24.2,28.6,0,0,435,9.36,605,0,0,0.064,53.6,39,26.9,0,3,3,2,0,0,0,"2021_8_26_11"
28.933,28.16,1326,191,2340,180,2021,8,34,238,26,4,11,1009.1,24.9,24.9,24.5,47,12.9,15.9,3.2,0.8,8,24.9,24.7,24.7,30.1,0,0,549,11.81,963,0,0,0.069,51,40,27.8,0,4,4,3,0,0,0,"2021_8_26_11"
29.655,26.767,1660,9,794,41,2021,8,34,238,26,4,12,1008.9,25.2,25.2,24.9,45,12.4,15.6,4.8,1.21,11.3,25.2,24.8,24.8,29.7,0,0,501,10.78,652,0.36,0,0.071,42.6,31,28.3,0,5,5,4,0,0,0,"2021_8_26_12"
31.628,31.368,1660,351,600,0,2021,8,34,238,26,4,12,1008.4,25.6,25.6,25.2,45,12.7,15.9,4.8,1.21,11.3,25.6,25.2,25.2,31.4,0,0,783,16.84,849,0,0,0.075,50.4,43,30.1,0,6,5,5,0,0,0,"2021_8_26_12"
31.943,29.032,1072,14,520,90,2021,8,34,238,26,4,12,1008,25.8,25.8,25.6,46,13.3,16.4,4.8,1.21,12.9,25.8,25.5,25.5,31.8,0,0,759,16.33,765,0,0,0.078,37.2,46,30.1,0,7,1,4,0,0,0,"2021_8_26_12"
30.851,30.851,1072,346,0,0,2021,8,34,238,26,4,12,1008.2,26.1,26.1,25.8,46,13.5,16.6,6.4,1.61,14.5,26.1,25.8,25.8,32.1,0,0,777,16.71,786,0,0,0.08,43.2,62,29.7,0,0,2,5,0,0,0,"2021_8_26_12"
30.2,32.198,747,160,1816,163,2021,8,34,238,26,4,13,1007.8,26.3,26.5,26.1,43,12.8,16,6.4,1.61,17.7,26.3,25.9,25.9,32.1,0,0,789,16.97,800,0.53,0,0.083,43.8,64,30.3,0,1,5,2,0,0,0,"2021_8_26_13"
30.995,32.836,747,200,1740,180,2021,8,34,238,26,4,13,1008.1,26.9,26.9,26.3,46,14.3,17.3,6.4,1.61,16.1,26.9,26.7,26.7,32.9,0,0,831,17.88,861,0,0,0.09,46.4,66,31.6,0,2,2,4,0,0,0,"2021_8_26_13"
29.243,28.919,1326,169,2397,167,2021,8,34,238,26,4,13,1007.9,26.7,26.9,26.7,47,14.5,17.4,9.7,2.41,17.7,26.7,26.6,26.6,32.9,0,0,807,17.36,849,0,0,0.087,36.7,61,31.8,0,3,6,4,0,0,0,"2021_8_26_13"
29.748,30.372,1326,191,2340,180,2021,8,34,238,26,4,13,1008,26.9,26.9,26.7,46,14.3,17.2,6.4,1.61,17.7,26.9,26.7,26.7,33,0,0,793,17.06,803,0,0,0.089,39.9,60,31.5,0,4,7,5,0,0,0,"2021_8_26_13"
30.378,28.762,1660,9,794,41,2021,8,34,238,26,4,14,1007.6,27.2,27.3,26.9,46,14.6,17.5,8,2.01,22.5,27.2,27,27,33.4,0,0,792,17.04,810,0.58,0,0.093,36,60,31.7,0,5,6,4,0,0,0,"2021_8_26_14"
29.993,29.847,1660,351,600,0,2021,8,34,238,26,4,14,1007.7,27.3,27.3,27.1,48,15.3,18.1,6.4,1.61,22.5,27.3,27.3,27.3,33.6,0,0,781,16.8,786,0,0,0.093,38.4,54,32.1,0,6,8,5,0,0,0,"2021_8_26_14"
29.483,31.215,1072,14,520,90,2021,8,34,238,26,4,14,1007,27.3,27.4,27.2,45,14.3,17.3,11.3,2.82,19.3,27.3,27,27,33.1,0,0,769,16.54,786,0,0,0.093,36.1,46,32.1,0,7,6,4,0,0,0,"2021_8_26_14"
29.798,29.798,1072,346,0,0,2021,8,34,238,26,4,14,1006.9,27.6,27.7,27.3,46,14.9,17.8,8,2.01,22.5,27.6,27.5,27.5,33.8,0,0,749,16.11,763,0,0,0.097,39.4,54,31.5,0,0,6,6,0,0,0,"2021_8_26_14"
29.131,30.43,747,160,1816,163,2021,8,34,238,26,4,15,1006.7,27.4,27.7,27.3,50,16,18.6,9.7,2.41,19.3,27.4,27.6,27.6,33.9,0,0,729,15.68,752,0.56,0,0.094,39.5,53,31.9,0,1,6,2,0,0,0,"2021_8_26_15"
29.734,29.828,747,200,1740,180,2021,8,34,238,26,4,15,1006.8,27.9,27.9,27.4,44,14.6,17.6,6.4,1.61,14.5,27.9,27.7,27.7,33.9,0,0,715,15.38,729,0,0,0.1,39.8,50,32.1,0,2,7,7,0,0,0,"2021_8_26_15"
29.867,32.982,1326,169,2397,167,2021,8,34,238,26,4,15,1006.5,28.3,28.3,27.9,53,17.8,20.1,3.2,0.8,12.9,28.3,29,29,35.4,0,0,696,14.97,707,0,0,0.104,41.3,48,31.7,0,3,8,7,0,0,0,"2021_8_26_15"
30.132,28.975,1326,191,2340,180,2021,8,34,238,26,4,15,1006,28.2,28.4,28.2,45,15.1,18,6.4,1.61,17.7,28.2,28,28,34.2,0,0,670,14.41,708,0,0,0.102,35.5,41,31.9,0,4,8,5,0,0,0,"2021_8_26_15"
30.347,30.328,1660,9,794,41,2021,8,34,238,26,4,16,1005.6,28.3,28.6,28.2,47,15.9,18.7,6.4,1.61,17.7,28.3,28.4,28.4,34.6,0,0,639,13.75,654,0.48,0,0.104,44.3,44,31.7,0,5,8,6,0,0,0,"2021_8_26_16"
30.326,31.082,1660,351,600,0,2021,8,34,238,26,4,16,1005.5,28.4,28.4,28.3,44,15,17.9,8,2.01,17.7,28.4,28.2,28.2,34.3,0,0,609,13.1,628,0,0,0.105,40.7,26,32.1,0,6,7,6,0,0,0,"2021_8_26_16"
