mapeFalse,mapeTrue,sensor,epochs,time_lag,dropout
1.6990389,0.057002123,1,50,2,0.0
3.1701148,0.07414281,1,50,2,0.1
3.556053,0.068965994,1,50,2,0.2
3.4415026,0.06891029,1,50,2,0.3
3.9261684,0.08363785,1,50,2,0.4
3.6199405,0.086600915,1,50,2,0.5
2.1125102,0.07481234,1,50,3,0.0
4.7830973,0.0905831,1,50,3,0.1
4.0667405,0.091559745,1,50,3,0.2
1.2049421,0.09130815,1,50,3,0.3
4.381128,0.12846245,1,50,3,0.4
3.2518742,0.109777145,1,50,3,0.5
1.0684179,0.07165996,1,50,4,0.0
3.6557307,0.08907213,1,50,4,0.1
5.294315,0.0935328,1,50,4,0.2
4.588295,0.08590811,1,50,4,0.3
4.153559,0.10333604,1,50,4,0.4
5.3736763,0.098258376,1,50,4,0.5
2.0974364,0.23347798,1,50,5,0.0
5.598294,0.23153876,1,50,5,0.1
4.5573335,0.22925961,1,50,5,0.2
7.187936,0.25878173,1,50,5,0.3
7.14025,0.23287193,1,50,5,0.4
7.2101984,0.24560025,1,50,5,0.5
2.3836188,0.1163945,1,50,6,0.0
7.778085,0.14584954,1,50,6,0.1
10.988991,0.13558857,1,50,6,0.2
8.81814,0.17682505,1,50,6,0.3
3.4744043,0.16048317,1,50,6,0.4
6.127602,0.14844239,1,50,6,0.5
1.1774852,0.13255428,1,50,7,0.0
14.473721,0.22361012,1,50,7,0.1
15.810587,0.12788987,1,50,7,0.2
11.656018,0.13725644,1,50,7,0.3
10.185403,0.18670294,1,50,7,0.4
5.248203,0.21891803,1,50,7,0.5
0.753725,0.11025315,1,50,8,0.0
0.9322322,0.11442994,1,50,8,0.1
1.0450199,0.12182103,1,50,8,0.2
1.0965523,0.1553238,1,50,8,0.3
0.84510225,0.13285996,1,50,8,0.4
1.46117,0.14053488,1,50,8,0.5
0.46112442,0.11392891,1,50,9,0.0
0.58665645,0.115939654,1,50,9,0.1
0.72088045,0.13679022,1,50,9,0.2
0.6492668,0.11669729,1,50,9,0.3
0.77649856,0.13254242,1,50,9,0.4
0.89607424,0.12111651,1,50,9,0.5
5.7313094,0.22834428,1,50,10,0.0
15.044114,0.18443124,1,50,10,0.1
28.738523,0.21918647,1,50,10,0.2
21.279284,0.24533325,1,50,10,0.3
21.617815,0.21349485,1,50,10,0.4
22.663164,0.26234165,1,50,10,0.5
0.4030911,0.043262888,1,100,2,0.0
1.2339287,0.053313754,1,100,2,0.1
2.6781998,0.054006465,1,100,2,0.2
3.1971252,0.05352487,1,100,2,0.3
4.441839,0.06831612,1,100,2,0.4
4.798845,0.07331595,1,100,2,0.5
1.1562662,0.05679531,1,100,3,0.0
0.6351601,0.07893486,1,100,3,0.1
1.4586691,0.08119283,1,100,3,0.2
1.2462317,0.08415171,1,100,3,0.3
1.4173812,0.09107536,1,100,3,0.4
1.633588,0.09287812,1,100,3,0.5
3.377801,0.05539999,1,100,4,0.0
2.8716886,0.06598338,1,100,4,0.1
1.4042325,0.082941696,1,100,4,0.2
2.8473957,0.08282644,1,100,4,0.3
1.4270298,0.08932376,1,100,4,0.4
3.067447,0.09456676,1,100,4,0.5
1.2282354,0.19000457,1,100,5,0.0
2.6331995,0.19239573,1,100,5,0.1
3.8598557,0.2190299,1,100,5,0.2
1.3420666,0.19903906,1,100,5,0.3
1.6936389,0.2855268,1,100,5,0.4
3.0640657,0.23505284,1,100,5,0.5
0.82492596,0.114300646,1,100,6,0.0
3.4310272,0.1293111,1,100,6,0.1
5.034353,0.13989072,1,100,6,0.2
7.038851,0.11765285,1,100,6,0.3
2.6039646,0.1417559,1,100,6,0.4
2.140708,0.13232517,1,100,6,0.5
1.2091851,0.1041214,1,100,7,0.0
3.276087,0.13219199,1,100,7,0.1
1.0178335,0.22748226,1,100,7,0.2
4.331397,0.13904217,1,100,7,0.3
1.9021274,0.1610999,1,100,7,0.4
8.832196,0.19974391,1,100,7,0.5
0.70869356,0.111827694,1,100,8,0.0
0.7933277,0.11017642,1,100,8,0.1
0.883448,0.124914765,1,100,8,0.2
0.9395719,0.116421,1,100,8,0.3
0.79815584,0.14659363,1,100,8,0.4
0.762846,0.11132948,1,100,8,0.5
0.4651124,0.11404593,1,100,9,0.0
0.9151401,0.10466328,1,100,9,0.1
0.57650435,0.11224382,1,100,9,0.2
0.639503,0.13312328,1,100,9,0.3
0.63873,0.15775773,1,100,9,0.4
0.6377992,0.12919752,1,100,9,0.5
1.6505884,0.22237012,1,100,10,0.0
3.2796438,0.22237918,1,100,10,0.1
13.743701,0.21051195,1,100,10,0.2
19.92686,0.26636297,1,100,10,0.3
12.911707,0.25665733,1,100,10,0.4
10.971638,0.20998529,1,100,10,0.5
1.108853,0.0319916,1,150,2,0.0
0.8306152,0.044080142,1,150,2,0.1
3.6546504,0.043556824,1,150,2,0.2
3.8134544,0.047971904,1,150,2,0.3
2.302861,0.046638537,1,150,2,0.4
3.9381213,0.060348425,1,150,2,0.5
0.38419792,0.061981115,1,150,3,0.0
1.3825941,0.061633684,1,150,3,0.1
2.19908,0.08234713,1,150,3,0.2
2.075635,0.07556551,1,150,3,0.3
3.1564395,0.09747971,1,150,3,0.4
2.9183168,0.086612485,1,150,3,0.5
4.786927,0.06009718,1,150,4,0.0
3.526025,0.08159808,1,150,4,0.1
3.829696,0.087399766,1,150,4,0.2
3.4445643,0.06729207,1,150,4,0.3
2.5567536,0.08037032,1,150,4,0.4
2.4082656,0.08882578,1,150,4,0.5
2.4041882,0.17710236,1,150,5,0.0
2.6939416,0.19782193,1,150,5,0.1
1.3778925,0.2165489,1,150,5,0.2
4.1015534,0.24049109,1,150,5,0.3
1.6841605,0.20451444,1,150,5,0.4
3.0764227,0.18782613,1,150,5,0.5
1.1521392,0.12024969,1,150,6,0.0
0.41040888,0.11132359,1,150,6,0.1
3.6396103,0.13956311,1,150,6,0.2
2.9682908,0.11271668,1,150,6,0.3
0.96374977,0.11645185,1,150,6,0.4
2.5615537,0.1472075,1,150,6,0.5
3.2677295,0.10040313,1,150,7,0.0
1.6788058,0.16506855,1,150,7,0.1
2.9844368,0.14417805,1,150,7,0.2
7.257906,0.11155808,1,150,7,0.3
1.9487185,0.15620904,1,150,7,0.4
7.2773485,0.16471377,1,150,7,0.5
0.77138394,0.11419515,1,150,8,0.0
0.8625972,0.11082241,1,150,8,0.1
0.7989691,0.11835467,1,150,8,0.2
0.97373027,0.121960595,1,150,8,0.3
0.8052991,0.10300199,1,150,8,0.4
0.72902036,0.121839195,1,150,8,0.5
0.46752003,0.11034681,1,150,9,0.0
0.6017842,0.11152367,1,150,9,0.1
0.533931,0.12750112,1,150,9,0.2
0.6596827,0.10875275,1,150,9,0.3
0.52825576,0.13251905,1,150,9,0.4
0.61549217,0.11127186,1,150,9,0.5
1.6923728,0.22644272,1,150,10,0.0
2.636031,0.22732462,1,150,10,0.1
0.82133716,0.20051242,1,150,10,0.2
6.7336683,0.23621736,1,150,10,0.3
22.449677,0.25229707,1,150,10,0.4
3.5668786,0.23990506,1,150,10,0.5
0.7489974,0.03030562,1,200,2,0.0
2.3065853,0.03673624,1,200,2,0.1
3.402331,0.03880779,1,200,2,0.2
2.155313,0.047314633,1,200,2,0.3
2.5730472,0.045480862,1,200,2,0.4
0.78777754,0.047863513,1,200,2,0.5
0.74150354,0.046678096,1,200,3,0.0
2.8083265,0.06429292,1,200,3,0.1
0.72350705,0.07372075,1,200,3,0.2
2.0982113,0.07099803,1,200,3,0.3
3.0787678,0.084935606,1,200,3,0.4
2.16239,0.07133029,1,200,3,0.5
3.7109656,0.057096492,1,200,4,0.0
1.8546317,0.0701275,1,200,4,0.1
1.3712119,0.07313067,1,200,4,0.2
2.8851511,0.063616835,1,200,4,0.3
1.9974097,0.080054455,1,200,4,0.4
0.98827523,0.07875837,1,200,4,0.5
0.94459057,0.1455112,1,200,5,0.0
3.8950548,0.18418774,1,200,5,0.1
5.669908,0.17487998,1,200,5,0.2
1.684454,0.21100754,1,200,5,0.3
2.852649,0.19543858,1,200,5,0.4
1.3497553,0.24577357,1,200,5,0.5
2.1360288,0.10760351,1,200,6,0.0
1.0032195,0.110220306,1,200,6,0.1
5.9705906,0.12748267,1,200,6,0.2
2.7942886,0.13594325,1,200,6,0.3
1.3727996,0.111441545,1,200,6,0.4
6.9468327,0.1216456,1,200,6,0.5
