mapeFalse,mapeTrue,sensor,epochs,time_lag,dropout
0.20890148,0.050386626,5,50,2,0.0
0.21884926,0.06494198,5,50,2,0.1
0.2237819,0.062454287,5,50,2,0.2
0.24284403,0.060495492,5,50,2,0.3
0.23860417,0.0637053,5,50,2,0.4
0.2637905,0.068473116,5,50,2,0.5
0.20447215,0.0688728,5,50,3,0.0
0.21904282,0.089408524,5,50,3,0.1
0.23723596,0.091769606,5,50,3,0.2
0.23396802,0.10114456,5,50,3,0.3
0.29460597,0.09969283,5,50,3,0.4
0.24653275,0.10511409,5,50,3,0.5
0.20489234,0.0700067,5,50,4,0.0
0.24869306,0.08273859,5,50,4,0.1
0.23470747,0.071758695,5,50,4,0.2
0.29718253,0.08620992,5,50,4,0.3
0.3064513,0.09611149,5,50,4,0.4
0.2685715,0.08058968,5,50,4,0.5
0.2270541,0.080270655,5,50,5,0.0
0.2549533,0.0900388,5,50,5,0.1
0.25285462,0.09297074,5,50,5,0.2
0.25644737,0.091686435,5,50,5,0.3
0.26864493,0.089127086,5,50,5,0.4
0.3227621,0.09941324,5,50,5,0.5
0.27103177,0.12566757,5,50,6,0.0
0.251367,0.13600607,5,50,6,0.1
0.29093495,0.13497652,5,50,6,0.2
0.26251164,0.1499949,5,50,6,0.3
0.31730852,0.13888787,5,50,6,0.4
0.3742123,0.13787335,5,50,6,0.5
0.33487856,0.08849557,5,50,7,0.0
0.33911377,0.086733535,5,50,7,0.1
0.3537428,0.09086589,5,50,7,0.2
0.35520858,0.10039701,5,50,7,0.3
0.37610632,0.13385975,5,50,7,0.4
0.36365643,0.13473685,5,50,7,0.5
0.32804152,0.10121855,5,50,8,0.0
0.31395313,0.114276975,5,50,8,0.1
0.3148211,0.10672044,5,50,8,0.2
0.36306325,0.09317193,5,50,8,0.3
0.3522016,0.09927015,5,50,8,0.4
0.34373304,0.1028279,5,50,8,0.5
0.33785248,0.111024834,5,50,9,0.0
0.37957558,0.112257764,5,50,9,0.1
0.37248465,0.11833867,5,50,9,0.2
0.39809075,0.12422221,5,50,9,0.3
0.39146474,0.12016694,5,50,9,0.4
0.4929436,0.11539002,5,50,9,0.5
0.37140667,0.12222387,5,50,10,0.0
0.43453512,0.13316841,5,50,10,0.1
0.3729373,0.12791862,5,50,10,0.2
0.39564073,0.12837586,5,50,10,0.3
0.40099043,0.12212829,5,50,10,0.4
0.43358952,0.13382964,5,50,10,0.5
0.21847199,0.041546132,5,100,2,0.0
0.2907521,0.055090226,5,100,2,0.1
0.30317345,0.051444843,5,100,2,0.2
0.31624898,0.058785293,5,100,2,0.3
0.341646,0.05617436,5,100,2,0.4
0.32244435,0.06411124,5,100,2,0.5
0.21426336,0.05121578,5,100,3,0.0
0.2223586,0.06496665,5,100,3,0.1
0.22972801,0.074737854,5,100,3,0.2
0.27096012,0.082916215,5,100,3,0.3
0.27984607,0.08527377,5,100,3,0.4
0.3132679,0.09363051,5,100,3,0.5
0.23451509,0.067095466,5,100,4,0.0
0.22558543,0.07219468,5,100,4,0.1
0.25099394,0.066594,5,100,4,0.2
0.2785445,0.10398873,5,100,4,0.3
0.39569864,0.0843441,5,100,4,0.4
0.39128268,0.07858142,5,100,4,0.5
0.2432249,0.08193657,5,100,5,0.0
0.25811055,0.09668081,5,100,5,0.1
0.30861807,0.082511865,5,100,5,0.2
0.26413196,0.093154676,5,100,5,0.3
0.30600536,0.100693814,5,100,5,0.4
0.25896108,0.094987206,5,100,5,0.5
0.27053508,0.1374199,5,100,6,0.0
0.24746563,0.11378964,5,100,6,0.1
0.28819883,0.14245974,5,100,6,0.2
0.3424227,0.12491077,5,100,6,0.3
0.317608,0.1833609,5,100,6,0.4
0.30481416,0.15033627,5,100,6,0.5
0.32855248,0.07532618,5,100,7,0.0
0.3080825,0.079282254,5,100,7,0.1
0.3191601,0.08810989,5,100,7,0.2
0.34017003,0.091769986,5,100,7,0.3
0.3246979,0.086819224,5,100,7,0.4
0.3618949,0.0898886,5,100,7,0.5
0.29485652,0.09325459,5,100,8,0.0
0.29768172,0.09136406,5,100,8,0.1
0.5315042,0.098732494,5,100,8,0.2
0.5015967,0.100475706,5,100,8,0.3
0.39048144,0.09945558,5,100,8,0.4
0.36477137,0.09743966,5,100,8,0.5
0.36361626,0.10551736,5,100,9,0.0
0.37942514,0.115787044,5,100,9,0.1
0.3848293,0.112294905,5,100,9,0.2
0.39003214,0.11327016,5,100,9,0.3
0.46159428,0.11492955,5,100,9,0.4
0.38584143,0.117274925,5,100,9,0.5
0.38152206,0.11452342,5,100,10,0.0
0.5034,0.11855116,5,100,10,0.1
0.5076201,0.12805462,5,100,10,0.2
0.40868232,0.13073497,5,100,10,0.3
0.5180343,0.12978718,5,100,10,0.4
0.538944,0.13064794,5,100,10,0.5
0.19681874,0.03220327,5,150,2,0.0
0.31982538,0.039110567,5,150,2,0.1
0.32751447,0.04484642,5,150,2,0.2
0.45601025,0.043088213,5,150,2,0.3
0.4819401,0.050425872,5,150,2,0.4
0.43032986,0.049597498,5,150,2,0.5
0.20870653,0.06548243,5,150,3,0.0
0.2547745,0.06763098,5,150,3,0.1
0.26128557,0.061899543,5,150,3,0.2
0.3167438,0.07346881,5,150,3,0.3
0.33954808,0.069403134,5,150,3,0.4
0.30586782,0.08794976,5,150,3,0.5
0.22923902,0.051208798,5,150,4,0.0
0.22481693,0.06561896,5,150,4,0.1
0.24439996,0.06976771,5,150,4,0.2
0.24731514,0.08237839,5,150,4,0.3
0.28143466,0.06648311,5,150,4,0.4
0.35562897,0.09409606,5,150,4,0.5
0.23446591,0.06338575,5,150,5,0.0
0.2870018,0.07001903,5,150,5,0.1
0.25411817,0.07324456,5,150,5,0.2
0.2538019,0.083746746,5,150,5,0.3
0.37110177,0.08088897,5,150,5,0.4
0.30899513,0.093507305,5,150,5,0.5
0.32406223,0.12519926,5,150,6,0.0
0.26153496,0.13634697,5,150,6,0.1
0.25566265,0.1366533,5,150,6,0.2
0.25477937,0.10685021,5,150,6,0.3
0.27459112,0.14989981,5,150,6,0.4
0.27521542,0.13346863,5,150,6,0.5
0.32397884,0.07893144,5,150,7,0.0
0.33616936,0.07540747,5,150,7,0.1
0.32010433,0.084024854,5,150,7,0.2
0.3442942,0.081752375,5,150,7,0.3
0.33504495,0.0913418,5,150,7,0.4
0.36447534,0.08576338,5,150,7,0.5
0.37550718,0.08380732,5,150,8,0.0
0.3116785,0.08758651,5,150,8,0.1
0.31639266,0.086308494,5,150,8,0.2
0.40351173,0.08792033,5,150,8,0.3
0.34630126,0.0972374,5,150,8,0.4
0.3746705,0.11481863,5,150,8,0.5
0.35080996,0.10952802,5,150,9,0.0
0.38566184,0.108652756,5,150,9,0.1
0.40882686,0.11017389,5,150,9,0.2
0.47130212,0.12835073,5,150,9,0.3
0.4256337,0.109282255,5,150,9,0.4
0.4300664,0.110579655,5,150,9,0.5
0.3747859,0.118705526,5,150,10,0.0
0.36527368,0.124328986,5,150,10,0.1
0.37787405,0.14887984,5,150,10,0.2
0.45425513,0.1332813,5,150,10,0.3
0.4327347,0.1550089,5,150,10,0.4
0.40019175,0.1459511,5,150,10,0.5
0.19666815,0.03137998,5,200,2,0.0
0.36685658,0.035369333,5,200,2,0.1
0.3819891,0.044071432,5,200,2,0.2
0.49399254,0.042975068,5,200,2,0.3
0.41522768,0.042503256,5,200,2,0.4
0.43930578,0.051415328,5,200,2,0.5
0.2202519,0.04654482,5,200,3,0.0
0.2642957,0.058621693,5,200,3,0.1
0.3393972,0.06789318,5,200,3,0.2
0.38291013,0.06697984,5,200,3,0.3
0.3404687,0.063450016,5,200,3,0.4
0.31897828,0.07173219,5,200,3,0.5
0.24424243,0.052152555,5,200,4,0.0
0.23301448,0.062647104,5,200,4,0.1
0.2772365,0.057620034,5,200,4,0.2
0.2935704,0.06269508,5,200,4,0.3
0.33274657,0.07030806,5,200,4,0.4
0.37960193,0.08372135,5,200,4,0.5
0.24431247,0.06906946,5,200,5,0.0
0.2909204,0.07173877,5,200,5,0.1
0.27347106,0.082527995,5,200,5,0.2
0.2939736,0.0819324,5,200,5,0.3
0.31482983,0.10050862,5,200,5,0.4
0.32782033,0.08633324,5,200,5,0.5
0.2387238,0.10188432,5,200,6,0.0
0.24341401,0.10404931,5,200,6,0.1
0.25010785,0.14642343,5,200,6,0.2
0.2582599,0.14754364,5,200,6,0.3
0.3184487,0.11151703,5,200,6,0.4
0.30423912,0.11758036,5,200,6,0.5
0.30621186,0.07766325,5,200,7,0.0
